BusinessEntityID,NationalIDNumber,LoginID,JobTitle,BirthDate,Gender,HireDate,VacationHours,SickLeaveHours,Name,GroupName,Name,StartTime,EndTime,StartDate,EndDate,ModifiedDate
21,243322160,adventure-works\terry0,Marketing Specialist,1980-03-07,M,2003-04-03,44,42,Marketing,Sales and Marketing,Day,07:00:00.0000000,15:00:00.0000000,2003-04-03,NULL,2003-04-02 00:00:00.000
22,95958330,adventure-works\sariya0,Marketing Specialist,1981-06-21,M,2003-01-13,45,42,Marketing,Sales and Marketing,Day,07:00:00.0000000,15:00:00.0000000,2003-01-13,NULL,2003-01-12 00:00:00.000
23,767955365,adventure-works\mary0,Marketing Specialist,1956-10-14,F,2003-02-13,46,43,Marketing,Sales and Marketing,Day,07:00:00.0000000,15:00:00.0000000,2003-02-13,NULL,2003-02-12 00:00:00.000
24,72636981,adventure-works\jill0,Marketing Specialist,1973-07-19,F,2003-02-19,47,43,Marketing,Sales and Marketing,Day,07:00:00.0000000,15:00:00.0000000,2003-02-19,NULL,2003-02-18 00:00:00.000
25,519899904,adventure-works\james1,Vice President of Production,1977-02-07,M,2003-03-07,64,52,Production,Manufacturing,Day,07:00:00.0000000,15:00:00.0000000,2003-03-07,NULL,2003-03-06 00:00:00.000
26,277173473,adventure-works\peter0,Production Control Manager,1976-12-04,M,2003-01-02,43,41,Production Control,Manufacturing,Day,07:00:00.0000000,15:00:00.0000000,2003-01-02,NULL,2003-01-01 00:00:00.000
27,446466105,adventure-works\jo0,Production Supervisor - WC60,1950-11-09,F,2002-03-30,80,60,Production,Manufacturing,Day,07:00:00.0000000,15:00:00.0000000,2002-03-30,NULL,2002-03-29 00:00:00.000
28,14417807,adventure-works\guy1,Production Technician - WC60,1976-05-15,M,2000-07-31,21,30,Production,Manufacturing,Day,07:00:00.0000000,15:00:00.0000000,2000-07-31,NULL,2000-07-30 00:00:00.000
29,948320468,adventure-works\mark1,Production Technician - WC60,1973-10-26,M,2003-02-24,19,29,Production,Manufacturing,Day,07:00:00.0000000,15:00:00.0000000,2003-02-24,NULL,2003-02-23 00:00:00.000
30,410742000,adventure-works\britta0,Production Technician - WC60,1983-10-30,F,2003-03-02,14,27,Production,Manufacturing,Day,07:00:00.0000000,15:00:00.0000000,2003-03-02,NULL,2003-03-01 00:00:00.000
31,750246141,adventure-works\margie0,Production Technician - WC60,1980-06-20,F,2003-02-05,18,29,Production,Manufacturing,Day,07:00:00.0000000,15:00:00.0000000,2003-02-05,NULL,2003-02-04 00:00:00.000
32,330211482,adventure-works\rebecca0,Production Technician - WC60,1971-08-11,F,2003-01-30,23,31,Production,Manufacturing,Day,07:00:00.0000000,15:00:00.0000000,2003-01-30,NULL,2003-01-29 00:00:00.000
33,801758002,adventure-works\annik0,Production Technician - WC60,1971-01-27,M,2003-01-18,17,28,Production,Manufacturing,Day,07:00:00.0000000,15:00:00.0000000,2003-01-18,NULL,2003-01-17 00:00:00.000
34,754372876,adventure-works\suchitra0,Production Technician - WC60,1981-07-11,F,2003-03-20,15,27,Production,Manufacturing,Day,07:00:00.0000000,15:00:00.0000000,2003-03-20,NULL,2003-03-19 00:00:00.000
35,999440576,adventure-works\brandon0,Production Technician - WC60,1971-02-11,M,2003-03-12,22,31,Production,Manufacturing,Day,07:00:00.0000000,15:00:00.0000000,2003-03-12,NULL,2003-03-11 00:00:00.000
36,788456780,adventure-works\jose0,Production Technician - WC60,1978-09-01,M,2003-03-14,20,30,Production,Manufacturing,Day,07:00:00.0000000,15:00:00.0000000,2003-03-14,NULL,2003-03-13 00:00:00.000
37,442121106,adventure-works\chris2,Production Technician - WC60,1980-09-07,M,2003-04-08,16,28,Production,Manufacturing,Day,07:00:00.0000000,15:00:00.0000000,2003-04-08,NULL,2003-04-07 00:00:00.000
38,6298838,adventure-works\kim1,Production Technician - WC60,1961-01-14,F,2004-02-17,24,32,Production,Manufacturing,Day,07:00:00.0000000,15:00:00.0000000,2004-02-17,NULL,2004-02-16 00:00:00.000
39,461786517,adventure-works\ed0,Production Technician - WC60,1965-10-12,M,2004-03-08,25,32,Production,Manufacturing,Day,07:00:00.0000000,15:00:00.0000000,2004-03-08,NULL,2004-03-07 00:00:00.000
40,309738752,adventure-works\jolynn0,Production Supervisor - WC60,1950-02-16,F,2002-01-26,82,61,Production,Manufacturing,Night,23:00:00.0000000,07:00:00.0000000,2002-01-26,NULL,2002-01-25 00:00:00.000
41,458159238,adventure-works\bryan0,Production Technician - WC60,1967-09-28,M,2003-02-22,35,37,Production,Manufacturing,Night,23:00:00.0000000,07:00:00.0000000,2003-02-22,NULL,2003-02-21 00:00:00.000
42,339712426,adventure-works\james0,Production Technician - WC60,1978-08-26,M,2003-01-28,39,39,Production,Manufacturing,Night,23:00:00.0000000,07:00:00.0000000,2003-01-28,NULL,2003-01-27 00:00:00.000
43,693325305,adventure-works\nancy0,Production Technician - WC60,1982-12-21,F,2003-02-03,34,37,Production,Manufacturing,Night,23:00:00.0000000,07:00:00.0000000,2003-02-03,NULL,2003-02-02 00:00:00.000
44,276751903,adventure-works\simon0,Production Technician - WC60,1984-06-17,M,2003-01-09,38,39,Production,Manufacturing,Night,23:00:00.0000000,07:00:00.0000000,2003-01-09,NULL,2003-01-08 00:00:00.000
45,500412746,adventure-works\thomas0,Production Technician - WC60,1980-02-11,M,2003-03-30,37,38,Production,Manufacturing,Night,23:00:00.0000000,07:00:00.0000000,2003-03-30,NULL,2003-03-29 00:00:00.000
46,66073987,adventure-works\eugene1,Production Technician - WC60,1970-03-13,M,2003-03-12,36,38,Production,Manufacturing,Night,23:00:00.0000000,07:00:00.0000000,2003-03-12,NULL,2003-03-11 00:00:00.000
47,33237992,adventure-works\andrew0,Production Supervisor - WC10,1982-10-08,M,2003-03-26,65,52,Production,Manufacturing,Day,07:00:00.0000000,15:00:00.0000000,2003-03-26,NULL,2003-03-25 00:00:00.000
48,690627818,adventure-works\ruth0,Production Technician - WC10,1950-07-06,F,2002-02-06,83,61,Production,Manufacturing,Day,07:00:00.0000000,15:00:00.0000000,2002-02-06,NULL,2002-02-05 00:00:00.000
49,912265825,adventure-works\barry0,Production Technician - WC10,1950-04-27,M,2002-02-07,88,64,Production,Manufacturing,Day,07:00:00.0000000,15:00:00.0000000,2002-02-07,NULL,2002-02-06 00:00:00.000
50,844973625,adventure-works\sidney0,Production Technician - WC10,1950-10-01,M,2002-03-05,84,62,Production,Manufacturing,Day,07:00:00.0000000,15:00:00.0000000,2002-03-05,NULL,2002-03-04 00:00:00.000
51,132674823,adventure-works\jeffrey0,Production Technician - WC10,1950-08-12,M,2002-03-23,85,62,Production,Manufacturing,Day,07:00:00.0000000,15:00:00.0000000,2002-03-23,NULL,2002-03-22 00:00:00.000
52,565090917,adventure-works\doris0,Production Technician - WC10,1950-05-06,F,2002-04-11,86,63,Production,Manufacturing,Day,07:00:00.0000000,15:00:00.0000000,2002-04-11,NULL,2002-04-10 00:00:00.000
53,9659517,adventure-works\diane0,Production Technician - WC10,1950-04-30,F,2002-04-29,87,63,Production,Manufacturing,Day,07:00:00.0000000,15:00:00.0000000,2002-04-29,NULL,2002-04-28 00:00:00.000
54,109272464,adventure-works\bonnie0,Production Technician - WC10,1980-10-11,F,2004-02-02,89,64,Production,Manufacturing,Day,07:00:00.0000000,15:00:00.0000000,2004-02-02,NULL,2004-02-01 00:00:00.000
55,233069302,adventure-works\taylor0,Production Supervisor - WC50,1950-05-03,M,2002-03-11,79,59,Production,Manufacturing,Night,23:00:00.0000000,07:00:00.0000000,2002-03-11,NULL,2002-03-10 00:00:00.000
56,652535724,adventure-works\denise0,Production Technician - WC50,1982-08-07,F,2003-03-09,9,24,Production,Manufacturing,Night,23:00:00.0000000,07:00:00.0000000,2003-03-09,NULL,2003-03-08 00:00:00.000
57,10708100,adventure-works\frank1,Production Technician - WC50,1965-08-24,M,2003-03-27,10,25,Production,Manufacturing,Night,23:00:00.0000000,07:00:00.0000000,2003-03-27,NULL,2003-03-26 00:00:00.000
58,571658797,adventure-works\kendall0,Production Technician - WC50,1980-06-30,M,2003-01-06,11,25,Production,Manufacturing,Night,23:00:00.0000000,07:00:00.0000000,2003-01-06,NULL,2003-01-05 00:00:00.000
59,843479922,adventure-works\bob0,Production Technician - WC50,1973-09-16,M,2003-01-25,12,26,Production,Manufacturing,Night,23:00:00.0000000,07:00:00.0000000,2003-01-25,NULL,2003-01-24 00:00:00.000
60,827686041,adventure-works\pete0,Production Technician - WC50,1971-03-07,M,2003-02-12,13,26,Production,Manufacturing,Night,23:00:00.0000000,07:00:00.0000000,2003-02-12,NULL,2003-02-11 00:00:00.000
61,92096924,adventure-works\diane2,Production Technician - WC50,1983-09-10,F,2003-02-19,8,24,Production,Manufacturing,Night,23:00:00.0000000,07:00:00.0000000,2003-02-19,NULL,2003-02-18 00:00:00.000
62,494170342,adventure-works\john0,Production Supervisor - WC60,1950-09-08,M,2002-04-18,81,60,Production,Manufacturing,Evening,15:00:00.0000000,23:00:00.0000000,2002-04-18,NULL,2002-04-17 00:00:00.000
63,414476027,adventure-works\maciej0,Production Technician - WC60,1949-03-02,M,2004-03-01,30,35,Production,Manufacturing,Evening,15:00:00.0000000,23:00:00.0000000,2004-03-01,NULL,2004-02-29 00:00:00.000
64,582347317,adventure-works\michael7,Production Technician - WC60,1967-10-07,M,2004-03-26,26,33,Production,Manufacturing,Evening,15:00:00.0000000,23:00:00.0000000,2004-03-26,NULL,2004-03-25 00:00:00.000
65,8066363,adventure-works\randy0,Production Technician - WC60,1964-05-29,M,2004-03-26,29,34,Production,Manufacturing,Evening,15:00:00.0000000,23:00:00.0000000,2004-03-26,NULL,2004-03-25 00:00:00.000
66,834186596,adventure-works\karan0,Production Technician - WC60,1964-04-07,M,2004-01-23,28,34,Production,Manufacturing,Evening,15:00:00.0000000,23:00:00.0000000,2004-01-23,NULL,2004-01-22 00:00:00.000
67,63179277,adventure-works\jay0,Production Technician - WC60,1970-03-14,M,2003-04-06,32,36,Production,Manufacturing,Evening,15:00:00.0000000,23:00:00.0000000,2003-04-06,NULL,2003-04-05 00:00:00.000
68,537092325,adventure-works\charles0,Production Technician - WC60,1965-10-03,M,2004-01-04,27,33,Production,Manufacturing,Evening,15:00:00.0000000,23:00:00.0000000,2004-01-04,NULL,2004-01-03 00:00:00.000
69,752513276,adventure-works\steve0,Production Technician - WC60,1985-05-07,M,2003-03-19,31,35,Production,Manufacturing,Evening,15:00:00.0000000,23:00:00.0000000,2003-03-19,NULL,2003-03-18 00:00:00.000
70,36151748,adventure-works\david2,Production Technician - WC60,1979-01-30,M,2003-01-16,33,36,Production,Manufacturing,Evening,15:00:00.0000000,23:00:00.0000000,2003-01-16,NULL,2003-01-15 00:00:00.000
71,578935259,adventure-works\michael3,Production Supervisor - WC30,1983-03-02,M,2003-03-19,70,55,Production,Manufacturing,Night,23:00:00.0000000,07:00:00.0000000,2003-03-19,NULL,2003-03-18 00:00:00.000
72,443968955,adventure-works\steven0,Production Technician - WC30,1971-06-15,M,2003-01-02,41,40,Production,Manufacturing,Night,23:00:00.0000000,07:00:00.0000000,2003-01-02,NULL,2003-01-01 00:00:00.000
73,138280935,adventure-works\carole0,Production Technician - WC30,1977-11-19,F,2003-01-20,42,41,Production,Manufacturing,Night,23:00:00.0000000,07:00:00.0000000,2003-01-20,NULL,2003-01-19 00:00:00.000
74,420023788,adventure-works\bjorn0,Production Technician - WC30,1983-12-08,M,2003-02-08,43,41,Production,Manufacturing,Night,23:00:00.0000000,07:00:00.0000000,2003-02-08,NULL,2003-02-07 00:00:00.000
75,363996959,adventure-works\michiko0,Production Technician - WC30,1976-07-28,M,2003-02-27,44,42,Production,Manufacturing,Night,23:00:00.0000000,07:00:00.0000000,2003-02-27,NULL,2003-02-26 00:00:00.000
76,227319668,adventure-works\carol0,Production Technician - WC30,1982-11-18,F,2003-03-16,45,42,Production,Manufacturing,Night,23:00:00.0000000,07:00:00.0000000,2003-03-16,NULL,2003-03-15 00:00:00.000
77,301435199,adventure-works\merav0,Production Technician - WC30,1977-06-13,F,2003-04-04,46,43,Production,Manufacturing,Night,23:00:00.0000000,07:00:00.0000000,2003-04-04,NULL,2003-04-03 00:00:00.000
78,370989364,adventure-works\reuben0,Production Supervisor - WC40,1981-09-27,M,2003-01-16,72,56,Production,Manufacturing,Evening,15:00:00.0000000,23:00:00.0000000,2003-01-16,NULL,2003-01-15 00:00:00.000
79,697712387,adventure-works\eric1,Production Technician - WC40,1961-01-08,M,2004-02-25,60,50,Production,Manufacturing,Evening,15:00:00.0000000,23:00:00.0000000,2004-02-25,NULL,2004-02-24 00:00:00.000
80,943170460,adventure-works\sandeep0,Production Technician - WC40,1965-01-03,M,2004-02-18,65,52,Production,Manufacturing,Evening,15:00:00.0000000,23:00:00.0000000,2004-02-18,NULL,2004-02-17 00:00:00.000
81,413787783,adventure-works\mihail0,Production Technician - WC40,1965-04-09,M,2004-01-30,64,52,Production,Manufacturing,Evening,15:00:00.0000000,23:00:00.0000000,2004-01-30,NULL,2004-01-29 00:00:00.000
82,58791499,adventure-works\jack1,Production Technician - WC40,1967-09-30,M,2004-04-03,62,51,Production,Manufacturing,Evening,15:00:00.0000000,23:00:00.0000000,2004-04-03,NULL,2004-04-02 00:00:00.000
83,988315686,adventure-works\patrick1,Production Technician - WC40,1968-01-24,M,2004-03-15,61,50,Production,Manufacturing,Evening,15:00:00.0000000,23:00:00.0000000,2004-03-15,NULL,2004-03-14 00:00:00.000
84,947029962,adventure-works\frank3,Production Technician - WC40,1946-04-03,M,2004-03-08,66,53,Production,Manufacturing,Evening,15:00:00.0000000,23:00:00.0000000,2004-03-08,NULL,2004-03-07 00:00:00.000
85,1662732,adventure-works\brian2,Production Technician - WC40,1965-01-23,M,2004-01-12,63,51,Production,Manufacturing,Evening,15:00:00.0000000,23:00:00.0000000,2004-01-12,NULL,2004-01-11 00:00:00.000
86,769680433,adventure-works\ryan0,Production Technician - WC40,1966-07-15,M,2003-02-06,59,49,Production,Manufacturing,Evening,15:00:00.0000000,23:00:00.0000000,2003-02-06,NULL,2003-02-05 00:00:00.000
87,7201901,adventure-works\cristian0,Production Supervisor - WC10,1978-05-13,M,2003-01-23,67,53,Production,Manufacturing,Night,23:00:00.0000000,07:00:00.0000000,2003-01-23,NULL,2003-01-22 00:00:00.000
88,294148271,adventure-works\betsy0,Production Technician - WC10,1961-01-17,F,2004-01-19,99,69,Production,Manufacturing,Night,23:00:00.0000000,07:00:00.0000000,2004-01-19,NULL,2004-01-18 00:00:00.000
89,90888098,adventure-works\patrick0,Production Technician - WC10,1980-10-11,M,2004-03-04,96,68,Production,Manufacturing,Night,23:00:00.0000000,07:00:00.0000000,2004-03-04,NULL,2004-03-03 00:00:00.000
90,82638150,adventure-works\danielle0,Production Technician - WC10,1980-10-08,F,2004-03-23,97,68,Production,Manufacturing,Night,23:00:00.0000000,07:00:00.0000000,2004-03-23,NULL,2004-03-22 00:00:00.000
91,390124815,adventure-works\kimberly0,Production Technician - WC10,1980-10-14,F,2004-02-13,95,67,Production,Manufacturing,Night,23:00:00.0000000,07:00:00.0000000,2004-02-13,NULL,2004-02-12 00:00:00.000
92,826454897,adventure-works\tom0,Production Technician - WC10,1980-11-01,M,2004-04-10,98,69,Production,Manufacturing,Night,23:00:00.0000000,07:00:00.0000000,2004-04-10,NULL,2004-04-09 00:00:00.000
93,778552911,adventure-works\kok-ho0,Production Supervisor - WC50,1974-05-30,M,2003-01-28,78,59,Production,Manufacturing,Evening,15:00:00.0000000,23:00:00.0000000,2003-01-28,NULL,2003-01-27 00:00:00.000
94,718299860,adventure-works\russell0,Production Technician - WC50,1966-12-27,M,2003-01-13,6,23,Production,Manufacturing,Evening,15:00:00.0000000,23:00:00.0000000,2003-01-13,NULL,2003-01-12 00:00:00.000
95,674171828,adventure-works\jim0,Production Technician - WC50,1980-10-09,M,2003-01-20,1,20,Production,Manufacturing,Evening,15:00:00.0000000,23:00:00.0000000,2003-01-20,NULL,2003-01-19 00:00:00.000
96,912141525,adventure-works\elizabeth0,Production Technician - WC50,1984-02-26,F,2003-04-03,5,22,Production,Manufacturing,Evening,15:00:00.0000000,23:00:00.0000000,2003-04-03,NULL,2003-04-02 00:00:00.000
97,370581729,adventure-works\mandar0,Production Technician - WC50,1980-04-21,M,2003-03-14,0,20,Production,Manufacturing,Evening,15:00:00.0000000,23:00:00.0000000,2003-03-14,NULL,2003-03-13 00:00:00.000
98,152085091,adventure-works\sameer0,Production Technician - WC50,1972-07-27,M,2003-03-15,4,22,Production,Manufacturing,Evening,15:00:00.0000000,23:00:00.0000000,2003-03-15,NULL,2003-03-14 00:00:00.000
99,431859843,adventure-works\nuan0,Production Technician - WC50,1973-04-29,M,2003-02-07,2,21,Production,Manufacturing,Evening,15:00:00.0000000,23:00:00.0000000,2003-02-07,NULL,2003-02-06 00:00:00.000
100,204035155,adventure-works\lolan0,Production Technician - WC50,1967-02-25,M,2003-02-13,7,23,Production,Manufacturing,Evening,15:00:00.0000000,23:00:00.0000000,2003-02-13,NULL,2003-02-12 00:00:00.000
101,153288994,adventure-works\houman0,Production Technician - WC50,1965-09-30,M,2003-02-26,3,21,Production,Manufacturing,Evening,15:00:00.0000000,23:00:00.0000000,2003-02-26,NULL,2003-02-25 00:00:00.000
102,360868122,adventure-works\zheng0,Production Supervisor - WC10,1977-11-26,M,2003-01-04,66,53,Production,Manufacturing,Evening,15:00:00.0000000,23:00:00.0000000,2003-01-04,NULL,2003-01-03 00:00:00.000
103,455563743,adventure-works\ebru0,Production Technician - WC10,1980-10-23,M,2004-01-07,93,66,Production,Manufacturing,Evening,15:00:00.0000000,23:00:00.0000000,2004-01-07,NULL,2004-01-06 00:00:00.000
104,717889520,adventure-works\mary1,Production Technician - WC10,1980-10-20,F,2004-01-26,94,67,Production,Manufacturing,Evening,15:00:00.0000000,23:00:00.0000000,2004-01-26,NULL,2004-01-25 00:00:00.000
105,801365500,adventure-works\kevin2,Production Technician - WC10,1980-10-20,M,2004-01-26,90,65,Production,Manufacturing,Evening,15:00:00.0000000,23:00:00.0000000,2004-01-26,NULL,2004-01-25 00:00:00.000
106,561196580,adventure-works\john4,Production Technician - WC10,1980-10-29,M,2004-03-30,92,66,Production,Manufacturing,Evening,15:00:00.0000000,23:00:00.0000000,2004-03-30,NULL,2004-03-29 00:00:00.000
107,393421437,adventure-works\christopher0,Production Technician - WC10,1980-11-01,M,2004-03-11,91,65,Production,Manufacturing,Evening,15:00:00.0000000,23:00:00.0000000,2004-03-11,NULL,2004-03-10 00:00:00.000
108,630184120,adventure-works\jinghao0,Production Supervisor - WC50,1983-03-09,M,2003-01-09,77,58,Production,Manufacturing,Day,07:00:00.0000000,15:00:00.0000000,2003-01-09,NULL,2003-01-08 00:00:00.000
109,113695504,adventure-works\alice0,Production Technician - WC50,1972-02-27,F,2003-01-08,95,67,Production,Manufacturing,Day,07:00:00.0000000,15:00:00.0000000,2003-01-08,NULL,2003-01-07 00:00:00.000
110,857651804,adventure-works\jun0,Production Technician - WC50,1973-08-06,M,2003-01-15,90,65,Production,Manufacturing,Day,07:00:00.0000000,15:00:00.0000000,2003-01-15,NULL,2003-01-14 00:00:00.000
111,415823523,adventure-works\suroor0,Production Technician - WC50,1972-03-28,M,2003-01-18,93,66,Production,Manufacturing,Day,07:00:00.0000000,15:00:00.0000000,2003-01-18,NULL,2003-01-17 00:00:00.000
112,981597097,adventure-works\john1,Production Technician - WC50,1972-07-01,M,2003-02-02,91,65,Production,Manufacturing,Day,07:00:00.0000000,15:00:00.0000000,2003-02-02,NULL,2003-02-01 00:00:00.000
113,54759846,adventure-works\linda0,Production Technician - WC50,1981-08-17,F,2003-01-26,96,68,Production,Manufacturing,Day,07:00:00.0000000,15:00:00.0000000,2003-01-26,NULL,2003-01-25 00:00:00.000
114,342607223,adventure-works\mindaugas0,Production Technician - WC50,1972-06-07,M,2003-02-14,97,68,Production,Manufacturing,Day,07:00:00.0000000,15:00:00.0000000,2003-02-14,NULL,2003-02-13 00:00:00.000
115,563680513,adventure-works\angela0,Production Technician - WC50,1985-07-01,F,2003-02-21,92,66,Production,Manufacturing,Day,07:00:00.0000000,15:00:00.0000000,2003-02-21,NULL,2003-02-20 00:00:00.000
116,398737566,adventure-works\michael2,Production Technician - WC50,1968-06-03,M,2003-03-04,98,69,Production,Manufacturing,Day,07:00:00.0000000,15:00:00.0000000,2003-03-04,NULL,2003-03-03 00:00:00.000
117,599942664,adventure-works\chad0,Production Technician - WC50,1984-09-04,M,2003-03-22,99,69,Production,Manufacturing,Day,07:00:00.0000000,15:00:00.0000000,2003-03-22,NULL,2003-03-21 00:00:00.000
118,222400012,adventure-works\don0,Production Technician - WC50,1965-07-14,M,2003-03-17,88,64,Production,Manufacturing,Day,07:00:00.0000000,15:00:00.0000000,2003-03-17,NULL,2003-03-16 00:00:00.000
119,334834274,adventure-works\michael4,Production Technician - WC50,1983-07-17,M,2003-03-29,94,67,Production,Manufacturing,Day,07:00:00.0000000,15:00:00.0000000,2003-03-29,NULL,2003-03-28 00:00:00.000
120,211789056,adventure-works\kitti0,Production Technician - WC50,1981-07-07,F,2003-04-05,89,64,Production,Manufacturing,Day,07:00:00.0000000,15:00:00.0000000,2003-04-05,NULL,2003-04-04 00:00:00.000
121,521265716,adventure-works\pilar0,Shipping and Receiving Supervisor,1966-10-11,M,2003-02-03,93,66,Shipping and Receiving,Inventory Management,Day,07:00:00.0000000,15:00:00.0000000,2003-02-03,NULL,2003-02-02 00:00:00.000
122,586486572,adventure-works\susan0,Stocker,1972-03-20,F,2003-01-08,97,68,Shipping and Receiving,Inventory Management,Evening,15:00:00.0000000,23:00:00.0000000,2003-01-08,NULL,2003-01-07 00:00:00.000
123,337752649,adventure-works\vamsi0,Shipping and Receiving Clerk,1971-04-19,M,2003-01-08,95,67,Shipping and Receiving,Inventory Management,Evening,15:00:00.0000000,23:00:00.0000000,2003-01-08,NULL,2003-01-07 00:00:00.000
124,420776180,adventure-works\kim0,Stocker,1978-06-01,F,2003-01-27,98,69,Shipping and Receiving,Inventory Management,Night,23:00:00.0000000,07:00:00.0000000,2003-01-27,NULL,2003-01-26 00:00:00.000
125,584205124,adventure-works\matthias0,Shipping and Receiving Clerk,1967-12-13,M,2003-02-21,94,67,Shipping and Receiving,Inventory Management,Day,07:00:00.0000000,15:00:00.0000000,2003-02-21,NULL,2003-02-20 00:00:00.000
126,652779496,adventure-works\jimmy0,Stocker,1979-06-05,M,2003-03-30,96,68,Shipping and Receiving,Inventory Management,Day,07:00:00.0000000,15:00:00.0000000,2003-03-30,NULL,2003-03-29 00:00:00.000
127,750905084,adventure-works\david4,Production Supervisor - WC40,1977-08-02,M,2003-02-04,73,56,Production,Manufacturing,Night,23:00:00.0000000,07:00:00.0000000,2003-02-04,NULL,2003-02-03 00:00:00.000
